Ensembl_IDs,Gene_symbols
ENSG00000155093,PTPRN2
ENSG00000155657,TTN
ENSG00000156049,GNA14
ENSG00000156313,RPGR
ENSG00000156413,FUT6
ENSG00000157168,NRG1
ENSG00000157456,CCNB2
ENSG00000157551,KCNJ15
ENSG00000157985,AGAP1
ENSG00000158186,MRAS
ENSG00000158406,H4C8
ENSG00000158488,CD1E
ENSG00000158578,ALAS2
ENSG00000158714,SLAMF8
ENSG00000159167,STC1
ENSG00000159231,CBR3
ENSG00000159713,TPPP3
ENSG00000160180,TFF3
ENSG00000160191,PDE9A
ENSG00000160307,S100B
ENSG00000160460,SPTBN4
ENSG00000161381,PLXDC1
ENSG00000161905,ALOX15
ENSG00000162366,PDZK1IP1
ENSG00000162367,TAL1
ENSG00000162383,SLC1A7
ENSG00000162437,RAVER2
ENSG00000162551,ALPL
ENSG00000162772,ATF3
ENSG00000162924,REL
ENSG00000163029,SMC6
ENSG00000163132,MSX1
ENSG00000163291,PAQR3
ENSG00000163430,FSTL1
ENSG00000163497,FEV
ENSG00000163625,WDFY3
ENSG00000163735,CXCL5
ENSG00000163736,PPBP
ENSG00000163993,S100P
ENSG00000164124,TMEM144
ENSG00000164162,ANAPC10
ENSG00000164172,MOCS2
ENSG00000164251,F2RL1
ENSG00000164292,RHOBTB3
ENSG00000164512,ANKRD55
ENSG00000164683,HEY1
ENSG00000164821,DEFA4
ENSG00000164850,GPER1
ENSG00000165304,MELK
ENSG00000165457,FOLR2
ENSG00000165617,DACT1
ENSG00000165682,CLEC1B
ENSG00000165949,IFI27
ENSG00000165983,PTER
ENSG00000166349,RAG1
ENSG00000166947,EPB42
ENSG00000167034,NKX3-1
ENSG00000167100,SAMD14
ENSG00000167618,LAIR2
ENSG00000167766,ZNF83
ENSG00000167768,KRT1
ENSG00000168268,NT5DC2
ENSG00000168765,GSTM4
ENSG00000168779,SHOX2
ENSG00000168903,BTNL3
ENSG00000168952,STXBP6
ENSG00000169131,ZNF354A
ENSG00000169231,THBS3
ENSG00000169245,CXCL10
ENSG00000169397,RNASE3
ENSG00000169429,CXCL8
ENSG00000169679,BUB1
ENSG00000169857,AVEN
ENSG00000169877,AHSP
ENSG00000169902,TPST1
ENSG00000170456,DENND5B
ENSG00000170848,PSG6
ENSG00000171848,RRM2
ENSG00000172007,RAB33B
ENSG00000172172,MRPL13
ENSG00000172215,CXCR6
ENSG00000172232,AZU1
ENSG00000172331,BPGM
ENSG00000172348,RCAN2
ENSG00000172469,MANEA
ENSG00000172765,TMCC1
ENSG00000173068,BNC2
ENSG00000173114,LRRN3
ENSG00000173157,ADAMTS20
ENSG00000173369,C1QB
ENSG00000173391,OLR1
ENSG00000173482,PTPRM
ENSG00000173801,JUP
ENSG00000174469,CNTNAP2
ENSG00000174944,P2RY14
ENSG00000175063,UBE2C
ENSG00000175471,MCTP1
ENSG00000175591,P2RY2
ENSG00000176014,TUBB6
ENSG00000176105,YES1
ENSG00000176871,WSB2
ENSG00000176890,TYMS
ENSG00000177519,RPRM
ENSG00000178445,GLDC
ENSG00000178726,THBD
ENSG00000179348,GATA2
ENSG00000179388,EGR3
ENSG00000179750,APOBEC3B
ENSG00000180479,ZNF571
ENSG00000180818,HOXC10
ENSG00000180871,CXCR2
ENSG00000181458,TMEM45A
ENSG00000182253,SYNM
ENSG00000182463,TSHZ2
ENSG00000182481,KPNA2
ENSG00000182534,MXRA7
ENSG00000182551,ADI1
ENSG00000182809,CRIP2
ENSG00000182871,COL18A1
ENSG00000182885,ADGRG3
ENSG00000183134,PTGDR2
ENSG00000183542,KLRC4
ENSG00000183690,EFHC2
ENSG00000183878,UTY
ENSG00000184113,CLDN5
ENSG00000184160,ADRA2C
ENSG00000184292,TACSTD2
ENSG00000184557,SOCS3
ENSG00000184792,OSBP2
ENSG00000185022,MAFF
ENSG00000185052,SLC24A3
ENSG00000185339,TCN2
ENSG00000185499,MUC1
ENSG00000185630,PBX1
ENSG00000185736,ADARB2
ENSG00000185745,IFIT1
ENSG00000185920,PTCH1
ENSG00000186115,CYP4F2
ENSG00000186204,CYP4F12
ENSG00000186529,CYP4F3
ENSG00000187010,RHD
ENSG00000188191,PRKAR1B
ENSG00000189144,ZNF573
ENSG00000189283,FHIT
ENSG00000196139,AKR1C3
ENSG00000196141,SPATS2L
ENSG00000196361,ELAVL3
ENSG00000196415,PRTN3
ENSG00000196418,ZNF124
ENSG00000196781,TLE1
ENSG00000196975,ANXA4
ENSG00000197372,ZNF675
ENSG00000197561,ELANE
ENSG00000197632,SERPINB2
ENSG00000197959,DNM3
ENSG00000198105,ZNF248
ENSG00000198300,PEG3
ENSG00000198336,MYL4
ENSG00000198692,EIF1AY
ENSG00000198718,TOGARAM1
ENSG00000198756,COLGALT2
ENSG00000198948,MFAP3L
ENSG00000205309,NT5M
ENSG00000205810,KLRC3
ENSG00000205927,OLIG2
ENSG00000206530,CFAP44
ENSG00000213316,LTC4S
ENSG00000228695,CES1P1
ENSG00000232119,MCTS1
ENSG00000249437,"NAIP"
ENSG00000250361,GYPB
ENSG00000257335,MGAM
ENSG00000258227,CLEC5A
ENSG00000259207,ITGB3
ENSG00000274290,H2BC6
ENSG00000274736,CCL23
ENSG00000277075,H2AC8
ENSG00000282608,ADORA3
