cell_type_name,dataset,gating_definition,gating_method
cDC1,2021_dataset,CD19-CD3-CD56-HLA-DR+CD14-CD16-CD123-CD11c+CD1c-CD141+,Manual
cDC2,2021_dataset,CD19-CD3-CD56-HLA-DR+CD14-CD16-CD123-CD11c+CD1c+CD141-,Manual
CD3CD19,2021_dataset,CD19+CD3+,Manual
"CD19+ CD3-",2021_dataset,CD19+CD3-,Manual
"M:B doublets (CD19+CD14+)",2021_dataset,CD19+CD3-CD14+,Manual
Bcells,2021_dataset,CD19+CD3-CD14-,Manual
"B cells (CD19+CD3-CD14-CD56-)",2021_dataset,CD19+CD3-CD14-CD56-,Manual
"B cells (CD19+CD20+CD3-CD14-CD56-)",2021_dataset,CD19+CD3-CD14-CD56-CD20+,Manual
"Memory B cells",2021_dataset,CD19+CD3-CD14-CD56-IgD-CD71-,Manual
"Naive B cells",2021_dataset,CD19+CD3-CD14-CD56-IgD+,Manual
"Proliferating B cells",2021_dataset,CD19+CD3-CD14-CD56-IgD-CD71+,Manual
"Activated B cells (ABCs)",2021_dataset,CD19+CD3-CD14-CD56-CD20-IgD-CD71+CD38+,Manual
"ASCs (Plasmablasts)",2021_dataset,CD19+CD3-CD14-CD56-CD20+IgD-CD71+CD38+,Manual
CD3CD19neg,2021_dataset,CD19-CD3+,Manual
"CD3 Tcells",2021_dataset,CD19-CD3+CD14-CD56-,Manual
CD4Tcells,2021_dataset,CD19-CD3+CD14-CD56-CD4+CD8-,Manual
NaiveCD4,2021_dataset,CD19-CD3+CD14-CD56-CD4+CD8-CD45RA+CCR7+,Manual
TcmCD4,2021_dataset,CD19-CD3+CD14-CD56-CD4+CD8-CD45RA-CCR7+,Manual
TemraCD4,2021_dataset,CD19-CD3+CD14-CD56-CD4+CD8-CD45RA+CCR7-,Manual
TemCD4,2021_dataset,CD19-CD3+CD14-CD56-CD4+CD8-CD45RA-CCR7-,Manual
"CD4+CD8+ T cells",2021_dataset,CD19-CD3+CD14-CD56-CD4+CD8+,Manual
"CD4-CD8- T cells",2021_dataset,CD19-CD3+CD14-CD56-CD4-CD8-,Manual
CD8Tcells,2021_dataset,CD19-CD3+CD14-CD56-CD4-CD8+,Manual
NaiveCD8,2021_dataset,CD19-CD3+CD14-CD56-CD4-CD8+CD45RA+CCR7+,Manual
TcmCD8,2021_dataset,CD19-CD3+CD14-CD56-CD4-CD8+CD45RA-CCR7+,Manual
TemCD8,2021_dataset,CD19-CD3+CD14-CD56-CD4-CD8+CD45RA-CCR7-,Manual
TemraCD8,2021_dataset,CD19-CD3+CD14-CD56-CD4-CD8+CD45RA+CCR7-,Manual
CD19-CD3-,2021_dataset,CD19-CD3-,Manual
NK,2021_dataset,CD19-CD3-CD56+,Manual
"Activated granulocytes",2021_dataset,CD19-CD3-CD56-HLA-DR-CD66b+,Manual
Basophils,2021_dataset,CD19-CD3-CD56-HLA-DR-CD66b-CD123+,Manual
